name	authors	year	valid
Boloponera vicans	Fisher	2006	valid
Bondroitia coecum	Forel	1911	invalid
Bondroitia lujae	Forel	1909	valid
Bondroitia saharensis	Santschi	1923	valid
Bothriomyrmex adriaca	Santschi	1922	invalid
Bothriomyrmex anastasiae	Dubovikov	2002	valid
Bothriomyrmex atlantis	Forel	1894	valid
Bothriomyrmex breviceps	Santschi	1919	valid
Bothriomyrmex communistus	Santschi	1919	valid
Bothriomyrmex corsicus	Santschi	1923	valid
Bothriomyrmex costae	Emery	1869	valid
Bothriomyrmex crosi	Santschi	1919	valid
Bothriomyrmex cuculus	Santschi	1919	valid
Bothriomyrmex decapitans	Santschi	1911	valid
Bothriomyrmex emarginatus	Santschi	1919	valid
Bothriomyrmex gallicus	Emery	1925	invalid
Bothriomyrmex gibbus	Soudek	1925	invalid
Bothriomyrmex hispanica	Santschi	1922	invalid
Bothriomyrmex jannonei	Menozzi	1936	valid
Bothriomyrmex kusnezovi	Emery	1925	valid
Bothriomyrmex laticeps	Emery	1925	valid
Bothriomyrmex menozzii	Emery	1925	invalid
Bothriomyrmex meridionalis	Roger	1863	valid
Bothriomyrmex modestus	Radchenko	1985	valid
Bothriomyrmex paradoxus	[no authors]	2004	valid
Bothriomyrmex pubens	Santschi	1919	valid
Bothriomyrmex regicidus	Santschi	1919	valid
Bothriomyrmex rogeri	Emery	1924	invalid
Bothriomyrmex salsurae	Donisthorpe	1944	valid
Bothriomyrmex saundersi	Santschi	1922	valid
Bothriomyrmex syrius	Forel	1910	valid
Bothriomyrmex turcomenicus	Emery	1925	valid
Bothriomyrmex urartus	Dubovikov	2002	valid
Brachymyrmex admotus	Mayr	1887	valid
Brachymyrmex antennatus	Santschi	1929	valid
Brachymyrmex aphidicola	Forel	1909	valid
Brachymyrmex australis	Forel	1901	valid
Brachymyrmex brevicornis	Emery	1906	valid
Brachymyrmex brevicornoeides	Forel	1914	valid
Brachymyrmex bruchi	Forel	1912	valid
Brachymyrmex cavernicola	Wheeler	1938	valid
Brachymyrmex coactus	Mayr	1887	valid
Brachymyrmex constrictus	Santschi	1923	valid
Brachymyrmex cordemoyi	Forel	1895	valid
Brachymyrmex degener	Emery	1906	valid
Brachymyrmex depilis	Emery	1893	valid
Brachymyrmex donisthorpei	Santschi	1939	valid
Brachymyrmex fiebrigi	Forel	1908	valid
Brachymyrmex flavidulus	Roger	1863	valid
Brachymyrmex gagates	Wheeler	1934	valid
Brachymyrmex gaucho	Santschi	1917	valid
Brachymyrmex giardi	Emery	1895	valid
Brachymyrmex goeldii	Forel	1912	valid
Brachymyrmex heeri	Forel	1874	valid
Brachymyrmex incisus	Forel	1912	valid
Brachymyrmex laevis	Emery	1895	valid
Brachymyrmex longicornis	Forel	1907	valid
Brachymyrmex luederwaldti	Santschi	1923	valid
Brachymyrmex melensis	[no authors]	1978	valid
Brachymyrmex micromegas	Santschi	1923	valid
Brachymyrmex minutus	Forel	1893	valid
Brachymyrmex modestus	Santschi	1923	valid
Brachymyrmex musculus	Forel	1899	valid
Brachymyrmex myops	Emery	1906	valid
Brachymyrmex nanellus	Wheeler	1903	invalid
Brachymyrmex nebulosus	LaPolla & Longino	2006	valid
Brachymyrmex nigricans	Santschi	1916	invalid
Brachymyrmex obscurior	Forel	1893	valid
Brachymyrmex oculatus	Santschi	1919	valid
Brachymyrmex patagonicus	Mayr	1868	valid
Brachymyrmex physogaster	Kusnezov	1960	valid
Brachymyrmex pictus	Mayr	1887	valid
Brachymyrmex pilipes	Mayr	1887	valid
Brachymyrmex santschii	Menozzi	1927	valid
Brachymyrmex termitophilus	Forel	1895	valid
Brachymyrmex tristis	Mayr	1870	valid
Brachytarsites dongzhouheensis	[no authors]	2002	valid
Bradoponera electrina	De Andrade & Baroni Urbani	2003	valid
Bradoponera meieri	Mayr	1868	valid
Bradoponera similis	Dlussky	2009	valid
Bradoponera wunderlichi	De Andrade & Baroni Urbani	2003	valid
Bregmatomyrma carnosa	Wheeler	1929	valid
Brownimecia clavata	Grimaldi, Agosti & Carpenter	1997	valid
Burmomyrma rossi	Dlussky	1996	valid
Calomyrmex albertisi	Emery	1887	valid
Calomyrmex albopilosus	Mayr	1876	valid
Calomyrmex glauerti	Clark	1930	valid
Calomyrmex impavidus	Forel	1893	valid
Calomyrmex laevissimus	Smith	1859	valid
Calomyrmex purpureus	Mayr	1876	valid
Calomyrmex similis	Mayr	1876	valid
Calomyrmex splendidus	Mayr	1876	valid
Calomyrmex tropicus	Smith	1861	valid
Calyptites antediluvianum	Scudder	1877	valid
Calyptomyrmex arnoldi	Forel	1913	valid
Calyptomyrmex asper	Shattuck	2011	valid
Calyptomyrmex barak	Bolton	1981	valid
Calyptomyrmex beccarii	Emery	1887	valid
Calyptomyrmex brevis	Weber	1943	valid
Calyptomyrmex brunneus	Arnold	1948	valid
Calyptomyrmex caledonicus	Shattuck	2011	valid
Calyptomyrmex cataractae	Arnold	1926	invalid
Calyptomyrmex clavatus	Weber	1952	valid
Calyptomyrmex claviseta	Santschi	1914	valid
Calyptomyrmex danum	Shattuck	2011	valid
Calyptomyrmex duhun	Bolton	1981	valid
Calyptomyrmex emeryi	Forel	1901	invalid
Calyptomyrmex emeryi	Forel	1910	invalid
Calyptomyrmex foreli	Emery	1915	valid
Calyptomyrmex fragarus	Shattuck	2011	valid
Calyptomyrmex friederikae	Kutter	1976	valid
Calyptomyrmex fritillus	Shattuck	2011	valid
Calyptomyrmex glabratus	Viehmeyer	1916	invalid
Calyptomyrmex grammus	Shattuck	2011	valid
Calyptomyrmex kaurus	Bolton	1981	valid
Calyptomyrmex lineolus	Shattuck	2011	valid
Calyptomyrmex loweryi	Shattuck	2011	valid
Calyptomyrmex nedjem	Bolton	1981	valid
Calyptomyrmex nummuliticus	Santschi	1914	valid
Calyptomyrmex ocullatus	Shattuck	2011	valid
Calyptomyrmex piripilis	Santschi	1923	valid
Calyptomyrmex punctatus	Weber	1952	invalid
Calyptomyrmex pusillus	Santschi	1915	invalid
Calyptomyrmex rectopilosus	Dlussky & Radchenko	1990	valid
Calyptomyrmex rennefer	Bolton	1981	valid
Calyptomyrmex reticulatus	Weber	1952	invalid
Calyptomyrmex retrostriatus	Shattuck	2011	valid
Calyptomyrmex rufobrunnea	Donisthorpe	1949	invalid
Calyptomyrmex ryderae	Shattuck	2011	valid
Calyptomyrmex sabahensis	Shattuck	2011	valid
Calyptomyrmex schraderi	Forel	1901	invalid
Calyptomyrmex shasu	Bolton	1981	valid
Calyptomyrmex singalensis	Baroni Urbani	1975	valid
Calyptomyrmex sparsus	Shattuck	2011	valid
Calyptomyrmex stellatus	Santschi	1915	valid
Calyptomyrmex tamil	Baroni Urbani	1975	valid
Calyptomyrmex taylori	Shattuck	2011	valid
Calyptomyrmex tensus	Bolton	1981	valid
Calyptomyrmex vedda	Baroni Urbani	1975	valid
Calyptomyrmex wittmeri	Baroni Urbani	1975	valid
Camponotites kraussei	Dlussky & Rasnitsyn	1999	valid
Camponotites macropterus	Dlussky	1981	valid
Camponotites silvestris	Steinbach	1967	valid
Camponotites steinbachi	[no authors]	2011	valid
Camponotites xiejiaheensis	[no authors]	1984	valid
Camponotus abditus	Forel	1899	valid
Camponotus abdominalis	Fabricius	1804	invalid
Camponotus abjectus	Santschi	1937	valid
Camponotus abrahami	Forel	1913	valid
Camponotus abscisus	Roger	1863	valid
Camponotus absquatulator	Snelling	2006	valid
Camponotus abunanus	Mann	1916	valid
Camponotus acutirostris	Wheeler	1910	valid
Camponotus acvapimensis	Mayr	1862	valid
Camponotus adami	Forel	1910	valid
Camponotus adenensis	Emery	1893	valid
Camponotus adlerzii	Forel	1886	invalid
Camponotus adpressisetosus	Forel	1879	invalid
Camponotus aegaeus	Emery	1915	valid
Camponotus aegyptiacus	Emery	1915	valid
Camponotus aeneopilosus	Mayr	1862	valid
Camponotus aequatorialis	Roger	1863	valid
Camponotus aequitas	Santschi	1920	valid
Camponotus aethiops	Latreille	1798	valid
Camponotus afflatus	Viehmeyer	1925	valid
Camponotus ager	Smith	1858	valid
Camponotus agilis	Smith	1858	invalid
Camponotus agnatus	Roger	1863	invalid
Camponotus agonius	Santschi	1915	valid
Camponotus aguilerai	Kusnezov	1952	valid
Camponotus alacer	Forel	1912	valid
Camponotus albicoxis	Forel	1899	valid
Camponotus albipes	Emery	1893	valid
Camponotus albisectus	Emery	1892	invalid
Camponotus albistramineus	Wheeler	1936	valid
Camponotus albivillosus	Zhou	2001	valid
Camponotus alboannulatus	Mayr	1887	valid
Camponotus albocinctus	Ashmead	1905	valid
Camponotus albofasciata	Smith	1862	invalid
Camponotus albosparsus	Bingham	1903	valid
Camponotus alfaroi	Emery	1890	invalid
Camponotus alii	Forel	1890	valid
Camponotus altivagans	Wheeler	1936	valid
Camponotus amamianus	Terayama	1991	valid
Camponotus amaurus	Espadaler	1997	valid
Camponotus ambon	Zhang	1989	valid
Camponotus americana	Buckley	1866	valid
Camponotus americanus	Mayr	1862	valid
Camponotus amoris	Forel	1904	valid
Camponotus amphidus	Santschi	1926	valid
Camponotus ampullosus	Zhang	1989	valid
Camponotus anderseni	McArthur & Shattuck	2001	valid
Camponotus andrei	Forel	1885	valid
Camponotus andrewsi	Donisthorpe	1936	valid
Camponotus andrius	[no authors]	1893	valid
Camponotus andyyoungi	McArthur	2008	valid
Camponotus angulata	Smith	1859	invalid
Camponotus angulatus	Mayr	1870	invalid
Camponotus anguliceps	Stitz	1938	valid
Camponotus angulicollis	Emery	1887	invalid
Camponotus angustata	Latreille	1798	invalid
Camponotus angusticeps	Emery	1886	valid
Camponotus angusticollis	Jerdon	1851	valid
Camponotus annetteae	McArthur & Shattuck	2001	valid
Camponotus anningensis	[no authors]		valid
Camponotus annulatus	Karavaiev	1929	valid
Camponotus anthrax	Wheeler	1911	valid
Camponotus apicalis	Mann	1916	valid
Camponotus apostolus	Forel	1901	valid
Camponotus arabicus	Collingwood	1985	valid
Camponotus arboreus	Smith	1858	valid
Camponotus arcuatus	Mayr	1876	valid
Camponotus ardens	Smith	1858	invalid
Camponotus arenatus	Shattuck & McArthur	2002	valid
Camponotus argus	Santschi	1935	valid
Camponotus arhuacus	Forel	1902	valid
Camponotus armeniacus	Arnol'di	1967	valid
Camponotus arminius	Forel	1910	valid
Camponotus armstrongi	McAreavey	1949	valid
Camponotus arnoldi	Pisarski	1971	invalid
Camponotus arnoldinus	Forel	1914	valid
Camponotus arrogans	Smith	1858	valid
Camponotus aruensis	Karavaiev	1933	valid
Camponotus ashokai	Karmaly & Narendran	2006	valid
Camponotus asli	[no authors]	1989	valid
Camponotus aterrimus	Emery	1895	invalid
Camponotus atlantis	Forel	1890	valid
Camponotus atra	Buckley	1866	valid
Camponotus atra	Zetterstedt	1838	invalid
Camponotus atriceps	Smith	1858	valid
Camponotus atricolor	Nylander	1849	valid
Camponotus atriscapus	Santschi	1926	valid
Camponotus atrox	Emery	1925	valid
Camponotus attila	Stärcke	1935	invalid
Camponotus augustei	Wheeler & Mann	1914	valid
Camponotus auratiacus	Zhou	2001	valid
Camponotus auratus	Karavaiev	1935	valid
Camponotus aurelianus	Forel	1912	valid
Camponotus aureopilus	Viehmeyer	1914	valid
Camponotus aureus	Dumpert, Maschwitz & Weissflog	2006	valid
Camponotus auricomus	Roger	1862	valid
Camponotus auriculatus	Mayr	1897	valid
Camponotus auriventris	Emery	1889	valid
Camponotus aurocinctus	Smith	1858	valid
Camponotus aurofasciatus	Santschi	1915	valid
Camponotus aurofasciatus	Wheeler	1915	valid
Camponotus auropubens	Forel	1894	valid
Camponotus aurosus	Roger	1863	valid
Camponotus aurulenta	Latreille	1802	invalid
Camponotus autrani	Forel	1886	valid
Camponotus avius	Santschi	1926	valid
Camponotus axillaris	Spinola	1808	invalid
Camponotus babau	Bolton	1995	invalid
Camponotus bactrianus	Pisarski	1967	invalid
Camponotus badius	Smith	1857	valid
Camponotus bajulus	Emery	1925	valid
Camponotus bakeri	Wheeler	1904	valid
Camponotus baldaccii	Emery	1908	valid
Camponotus ballioni	Forel	1904	invalid
Camponotus balzani	Emery	1894	valid
Camponotus banghaasi	Emery	1903	valid
Camponotus barbaricus	Emery	1905	valid
Camponotus barbarossa	Emery	1920	valid
Camponotus barbatus	Menozzi	1926	invalid
Camponotus barbatus	Roger	1863	valid
Camponotus barbiger	Donisthorpe	1941	valid
Camponotus barbosus	Baroni Urbani	1971	valid
Camponotus baronii	Alayo & Zayas Montero	1977	valid
Camponotus basuto	Arnold	1958	valid
Camponotus batesii	Forel	1895	valid
Camponotus bayeri	Forel	1913	valid
Camponotus baynei	Arnold	1922	valid
Camponotus beccarii	Emery	1887	valid
Camponotus bedoti	Emery	1893	valid
Camponotus beebei	Wheeler	1918	valid
Camponotus belligerus	Santschi	1920	valid
Camponotus bellus	Forel	1908	valid
Camponotus belumensis	[no authors]	1995	valid
Camponotus benguelensis	Santschi	1911	valid
Camponotus bermudezi	Aguayo	1932	valid
Camponotus berthoudi	Forel	1879	valid
Camponotus bertolonii	Emery	1895	valid
Camponotus bianconii	Emery	1895	valid
Camponotus bicolor	Latreille	1798	valid
Camponotus bidens	Mayr	1870	valid
Camponotus bifossus	Santschi	1917	valid
Camponotus bigenus	Santschi	1919	valid
Camponotus binghamii	Forel	1894	valid
Camponotus biolleyi	Forel	1902	valid
Camponotus birmana	Collingwood	1962	invalid
Camponotus bishamon	Terayama	1999	valid
Camponotus bispinosus	Mayr	1870	valid
Camponotus bituberculatus	André	1889	valid
Camponotus blandus	Smith	1858	valid
Camponotus bocki	Forel	1907	valid
Camponotus boghossiani	Forel	1911	valid
Camponotus bonariensis	Mayr	1868	valid
Camponotus borellii	Emery	1894	valid
Camponotus bottegoi	Emery	1895	valid
Camponotus brachycephalus	Santschi	1920	valid
Camponotus branneri	Mann	1916	valid
Camponotus brasiliensis	Mayr	1862	valid
Camponotus braunsi	Mayr	1895	valid
Camponotus brettesi	Forel	1899	valid
Camponotus brevicollis	Stitz	1916	valid
Camponotus brevis	Forel	1899	valid
Camponotus breviscapus	Zhou	2001	valid
Camponotus brevisetosus	Forel	1910	valid
Camponotus britteni	Donisthorpe	1931	valid
Camponotus brodiei	Donisthorpe	1920	valid
Camponotus brookei	Forel	1914	valid
Camponotus bruchi	Forel	1912	valid
Camponotus bruesi	Wheeler	1910	invalid
Camponotus brullei	Smith	1858	valid
Camponotus bruneiensis	Viehmeyer	1922	valid
Camponotus brunni	Forel	1901	valid
Camponotus brutus	Forel	1886	valid
Camponotus bryani	Santschi	1928	valid
Camponotus buchholzi	Mayr	1902	valid
Camponotus buddhae	Forel	1892	valid
Camponotus bugnioni	Forel	1899	valid
Camponotus burgeoni	Santschi	1926	valid
Camponotus burtoni	Mann	1916	valid
Camponotus butteli	Forel	1905	valid
Camponotus buttikeri	Arnold	1958	valid
Camponotus buxtoni	Santschi	1928	invalid
Camponotus cacicus	Emery	1903	valid
Camponotus caesar	Forel	1886	valid
Camponotus caffer	Emery	1895	valid
Camponotus californica	Emery	1925	valid
Camponotus callida	Smith	1858	invalid
Camponotus callistus	Emery	1911	valid
Camponotus callmorphus	Stitz	1923	valid
Camponotus calvus	Emery	1920	valid
Camponotus cambouei	Forel	1891	valid
Camponotus camelinus	Smith	1857	valid
Camponotus camelus	Emery	1883	valid
Camponotus cameranoi	Emery	1894	valid
Camponotus cameratus	Viehmeyer	1925	valid
Camponotus cameroni	Forel	1892	valid
Camponotus candiotes	Emery	1894	valid
Camponotus canescens	Mayr	1870	valid
Camponotus capito	Mayr	1876	valid
Camponotus capperi	Forel	1899	valid
Camponotus caracalla	Forel	1912	valid
Camponotus carbo	Emery	1877	valid
Camponotus carbonarius	Latreille	1802	valid
Camponotus carin	Emery	1889	valid
Camponotus carinata	Brullé	1840	valid
Camponotus carinata	Mayr	1870	invalid
Camponotus carpenteri	Özdikmen	2010	valid
Camponotus caryae	Fitch	1855	valid
Camponotus casicus	Santschi	1920	valid
Camponotus castanea	Lepeletier de Saint-Fargeau	1835	valid
Camponotus castanea	Stitz	1925	invalid
Camponotus castaneus	Latreille	1802	valid
Camponotus castanicola	Donisthorpe	1943	valid
Camponotus castanipes	Leach	1825	invalid
Camponotus catalanus	Emery	1924	valid
Camponotus cecconii	Emery	1908	valid
Camponotus cerberulus	Emery	1920	valid
Camponotus ceriseipes	Clark	1938	valid
Camponotus cervicalis	Roger	1863	valid
Camponotus ceylonicus	Emery	1925	valid
Camponotus chalaconotus	Menozzi	1929	invalid
Camponotus chalceoides	Clark	1938	valid
Camponotus chalceus	Crawley	1915	valid
Camponotus championi	Forel	1899	valid
Camponotus chapini	Wheeler	1922	valid
Camponotus chartifex	Smith	1860	valid
Camponotus chazaliei	Forel	1899	valid
Camponotus cheesmanae	Donisthorpe	1932	valid
Camponotus chilensis	Spinola	1851	valid
Camponotus chloroticus	Emery	1897	valid
Camponotus chongqingensis	[no authors]		valid
Camponotus christi	Forel	1886	valid
Camponotus christmasensis	McArthur	2008	valid
Camponotus christophei	Wheeler & Mann	1914	valid
Camponotus christopherseni	Forel	1912	invalid
Camponotus chromaiodes	Bolton	1995	valid
Camponotus chrysurus	Gerstäcker	1871	valid
Camponotus churchetti	McArthur	2008	valid
Camponotus cilicicus	Emery	1908	valid
Camponotus cillae	Forel	1912	valid
Camponotus cinctellus	Gerstäcker	1859	valid
Camponotus cinerascens	Fabricius	1787	valid
Camponotus cinereus	Mayr	1876	valid
Camponotus cingulatus	Mayr	1862	valid
Camponotus circularis	Mayr	1870	valid
Camponotus circumspectus	Smith	1861	valid
Camponotus clarior	Forel	1902	valid
Camponotus claripes	Mayr	1876	valid
Camponotus clarithorax	Creighton	1950	valid
Camponotus clarus	Mayr	1862	invalid
Camponotus claviscapus	Forel	1899	valid
Camponotus cleobulus	Santschi	1919	valid
Camponotus clerodendri	Emery	1887	valid
Camponotus clypeatus	Mayr	1866	valid
Camponotus cocosensis	Wheeler	1919	valid
Camponotus cognata	Smith	1858	invalid
Camponotus cognatocompressus	Forel	1904	valid
Camponotus coloratus	Forel	1904	valid
Camponotus compactus	Förster	1891	valid
Camponotus compositor	Santschi	1922	valid
Camponotus compressiscapus	André	1889	valid
Camponotus compressus	Fabricius	1787	valid
Camponotus concavus	Kim & Kim	1994	valid
Camponotus concolor	Forel	1891	valid
Camponotus confluens	Forel	1913	valid
Camponotus confucii	Forel	1894	valid
Camponotus congolensis	Emery	1899	valid
Camponotus coniceps	Santschi	1926	valid
Camponotus conicus	Mayr	1876	valid
Camponotus conithorax	Emery	1914	valid
Camponotus conradti	Forel	1914	valid
Camponotus consanguineus	Smith	1861	valid
Camponotus consectator	Smith	1858	valid
Camponotus consobrinus	Erichson	1842	valid
Camponotus conspicuus	Smith	1858	valid
Camponotus constructor	Forel	1899	valid
Camponotus contractus	Mayr	1872	valid
Camponotus conulus	Mayr	1870	valid
Camponotus convexiclypeus	MacKay	1997	valid
Camponotus coptobregma	Kempf	1968	valid
Camponotus corallinus	Roger	1863	valid
Camponotus cordiceps	Santschi	1939	valid
Camponotus cordincola	Wheeler	1934	valid
Camponotus coriolanus	Forel	1912	valid
Camponotus corniculatus	Wheeler	1934	valid
Camponotus cornis	Wang & Wu	1994	valid
Camponotus coruscus	Smith	1862	valid
Camponotus cosmicus	Smith	1858	valid
Camponotus cotesii	Forel	1893	valid
Camponotus cowlei	Froggatt	1896	valid
Camponotus coxalis	Smith	1859	valid
Camponotus crassicornis	Emery	1920	valid
Camponotus crassisquamis	Forel	1902	valid
Camponotus crassus	Mayr	1862	valid
Camponotus crawleyi	Emery	1920	valid
Camponotus crenatus	Mayr	1876	valid
Camponotus crepusculi	Arnold	1922	valid
Camponotus cressoni	André	1887	valid
Camponotus criniticeps	Menozzi	1939	valid
Camponotus crispulus	Santschi	1922	valid
Camponotus cristatus	Mayr	1866	valid
Camponotus crozei	Riou	1999	valid
Camponotus crozieri	McArthur & Leys	2006	valid
Camponotus crucheti	Santschi	1911	valid
Camponotus cruentatus	Latreille	1802	valid
Camponotus cuauhtemoc	Snelling	1988	valid
Camponotus cubangensis	Forel	1901	valid
Camponotus culmicola	Wheeler	1905	valid
Camponotus cuneata	Perty	1833	invalid
Camponotus cuneidorsus	Emery	1920	valid
Camponotus cuneiscapus	Forel	1910	valid
Camponotus curviansatus	Zhang	1989	valid
Camponotus curviscapus	Emery	1896	valid
Camponotus custodulus	Emery	1911	valid
Camponotus cylindricus	Fabricius	1798	valid
Camponotus cyrtomyrmodes	Donisthorpe	1941	valid
Camponotus daitoensis	Terayama	1999	valid
Camponotus dalmasi	Forel	1899	valid
Camponotus dalmaticus	Nylander	1849	valid
Camponotus darlingtoni	Wheeler	1934	valid
Camponotus darwinii	Forel	1886	valid
Camponotus debellator	Santschi	1926	valid
Camponotus decipiens	Emery	1893	valid
Camponotus declivus	Santschi	1922	valid
Camponotus dedalus	Forel	1911	valid
Camponotus deletangi	Santschi	1920	valid
Camponotus densopilus	Shattuck	2005	valid
Camponotus dentatus	Mayr	1866	valid
Camponotus denticulatus	Kirby	1896	invalid
Camponotus depressiceps	Forel	1879	valid
Camponotus depressus	Mayr	1866	valid
Camponotus desantii	Santschi	1915	valid
Camponotus descarpentriesi	Santschi	1926	valid
Camponotus desectus	Smith	1860	valid
Camponotus detritus	Emery	1886	valid
Camponotus devestivus	Wheeler	1928	valid
Camponotus dewitzii	Forel	1886	valid
Camponotus dichrous	[no authors]	1882	invalid
Camponotus dicksoni	Arnold	1948	valid
Camponotus difformis	Stitz	1938	valid
Camponotus dimorphus	Emery	1894	valid
Camponotus diplopunctatus	Emery	1915	valid
Camponotus discolor	Buckley	1866	valid
Camponotus discors	Forel	1902	valid
Camponotus distinguendus	Spinola	1851	valid
Camponotus divergens	Mayr	1887	valid
Camponotus diversipalpus	Santschi	1922	valid
Camponotus dolabratus	Menozzi	1927	valid
Camponotus dolendus	Forel	1892	valid
Camponotus dolichoderoides	Forel	1911	valid
Camponotus donisthorpei	Emery	1920	valid
Camponotus donnellani	Shattuck & McArthur	2002	valid
Camponotus doriae	Mayr	1872	invalid
Camponotus dorycus	Smith	1860	valid
Camponotus dracocephalus	Stitz	1938	valid
Camponotus dromas	Santschi	1919	valid
Camponotus dromedarius	Forel	1891	valid
Camponotus druryi	Forel	1886	valid
Camponotus dryandrae	McArthur & Adams	1996	valid
Camponotus dufouri	Forel	1891	valid
Camponotus dumetorum	Wheeler	1910	valid
Camponotus eastwoodi	McArthur & Adams	1996	valid
Camponotus ebeninus	Emery	1869	invalid
Camponotus echinoploides	Forel	1891	valid
Camponotus edmondi	André	1887	valid
Camponotus egregius	Smith	1858	valid
Camponotus elegans	Forel	1902	valid
Camponotus elevatus	Forel	1899	valid
Camponotus ellioti	Forel	1891	valid
Camponotus elysii	Mann	1919	valid
Camponotus emarginatus	Emery	1886	valid
Camponotus emeryi	Forel	1901	invalid
Camponotus emeryodicatus	Forel	1901	valid
Camponotus empedocles	Emery	1920	valid
Camponotus enigmaticus	Mackay, Mackay & MacKay	2004	valid
Camponotus eperiamorum	Clouse	2007	valid
Camponotus ephippiatus	Viehmeyer	1916	valid
Camponotus ephippium	Smith	1858	valid
Camponotus equus	Stitz	1932	valid
Camponotus eremicus	Wheeler	1915	valid
Camponotus erigens	Forel	1894	valid
Camponotus erinaceus	Gerstäcker	1871	valid
Camponotus errabundus	Arnold	1949	valid
Camponotus erythrocephalus	Clouse	2007	valid
Camponotus erythropus	Pergande	1893	invalid
Camponotus erythropus	Viehmeyer	1925	invalid
Camponotus erythrostoma	Emery	1920	valid
Camponotus esau	Forel	1915	valid
Camponotus escherichi	Menozzi	1926	invalid
Camponotus essigi	Smith	1923	valid
Camponotus esuriens	Smith	1858	invalid
Camponotus ethicus	Forel	1897	valid
Camponotus etiolatus	Wheeler	1904	valid
Camponotus etiolipes	Bolton	1995	valid
Camponotus eugeniae	Forel	1879	valid
Camponotus eurynotus	Forel	1907	valid
Camponotus evae	Forel	1910	valid
Camponotus evansi	Crawley	1920	valid
Camponotus exasperata	Smith	1857	invalid
Camponotus excavatus	Donisthorpe	1948	valid
Camponotus excisus	Mayr	1870	valid
Camponotus exiguoguttatus	Forel	1886	valid
Camponotus exsectus	Emery	1900	valid
Camponotus extensus	Mayr	1876	valid
Camponotus ezotus	Bolton	1995	valid
Camponotus fabricator	Smith	1858	valid
Camponotus fabricii	Roger	1862	invalid
Camponotus falco	Forel	1902	valid
Camponotus fallatus	Bolton	1995	valid
Camponotus fallax	Nylander	1856	valid
Camponotus fasciatellus	[no authors]	1892	valid
Camponotus fasciatus	Mayr	1867	valid
Camponotus fasciatus	Mayr	1870	invalid
Camponotus fastigatus	Roger	1863	valid
Camponotus favorabilis	Santschi	1919	valid
Camponotus fayfaensis	Collingwood	1985	valid
Camponotus fedtschenkoi	Mayr	1877	valid
Camponotus fellah	[no authors]	1893	valid
Camponotus femoratus	Fabricius	1804	valid
Camponotus ferganensis	Pisarski	1967	invalid
Camponotus fergusoni	McArthur	2003	valid
Camponotus ferreri	Forel	1913	valid
Camponotus ferruginea	Fabricius	1798	valid
Camponotus ferruginipes	Poulton	1922	invalid
Camponotus fervens	Smith	1857	invalid
Camponotus fervidus	Donisthorpe	1943	valid
Camponotus festai	Emery	1894	valid
Camponotus festinatus	Buckley	1866	valid
Camponotus festinus	Smith	1857	valid
Camponotus fictor	Forel	1902	invalid
Camponotus fiebrigi	Forel	1906	valid
Camponotus fieldeae	Forel	1902	valid
Camponotus fieldellus	Forel	1910	valid
Camponotus figaro	Collingwood & Yarrow	1969	valid
Camponotus fijianus	Özdikmen	2010	valid
Camponotus flavescens	Fabricius	1793	valid
Camponotus flavicomans	Clouse	2007	valid
Camponotus flavocassis	Donisthorpe	1941	valid
Camponotus flavocrines	[no authors]	1941	valid
Camponotus flavolimbatus	Viehmeyer	1922	valid
Camponotus flavomarginatus	Mayr	1862	valid
Camponotus flavosetosus	Donisthorpe	1945	invalid
Camponotus fletcheri	Donisthorpe	1942	valid
Camponotus flexus	Mayr	1862	invalid
Camponotus floridanus	Buckley	1866	valid
Camponotus florius	Santschi	1926	valid
Camponotus foleyi	Santschi	1939	valid
Camponotus foraminosus	Forel	1879	valid
Camponotus foreli	Emery	1881	valid
Camponotus formiciformis	Forel	1885	valid
Camponotus formosensis	Wheeler	1927	valid
Camponotus fornasinii	Emery	1895	valid
Camponotus fragilis	Pergande	1893	valid
Camponotus fraseri	McArthur	2008	valid
Camponotus friedae	Forel	1912	valid
Camponotus froggatti	Forel	1902	valid
Camponotus frontalis	Pergande	1896	valid
Camponotus fryi	Mann	1916	valid
Camponotus fugax	Forel	1902	valid
Camponotus fulvopilosus	De Geer	1778	valid
Camponotus fumidus	Roger	1863	valid
Camponotus furvus	Santschi	1911	valid
Camponotus fuscipennis	Carpenter	1930	valid
Camponotus fuscipes	Mayr	1853	invalid
Camponotus fuscivillosus	[no authors]		valid
Camponotus fuscocinctus	Emery	1888	valid
Camponotus fuscoptera	[no authors]	1785	invalid
Camponotus fuscus	Kim & Kim	1994	valid
Camponotus gabonensis	Santschi	1926	valid
Camponotus galla	Forel	1894	valid
Camponotus gallagheri	Collingwood & Agosti	1996	valid
Camponotus gallienii	Forel	1916	invalid
Camponotus gambeyi	Emery	1883	valid
Camponotus gasseri	Forel	1894	valid
Camponotus geayi	Santschi	1922	valid
Camponotus genatus	Santschi	1922	valid
Camponotus gentingensis	[no authors]	1995	valid
Camponotus geralensis	Emery	1920	valid
Camponotus gerberti	Donisthorpe	1949	valid
Camponotus germaini	Emery	1903	valid
Camponotus gestroi	Emery	1878	valid
Camponotus gibber	Forel	1891	valid
Camponotus gibbinotus	Forel	1902	valid
Camponotus gibbosus	Karavaiev	1929	valid
Camponotus gigas	Latreille	1802	valid
Camponotus gigas	Leach	1825	valid
