name	authors	year	valid
Acropyga inezae	Forel	1912	valid
Acropyga jiangxiensis	Wang & Wu	1992	invalid
Acropyga kathrynae	Weber	1944	invalid
Acropyga keira	LaPolla	2004	valid
Acropyga kinomurai	Terayama & Hashimoto	1996	valid
Acropyga lauta	Mann	1919	valid
Acropyga major	Donisthorpe	1949	valid
Acropyga marshalli	Crawley	1921	invalid
Acropyga meermohri	Stärcke	1930	invalid
Acropyga mesonotalis	Weber	1944	invalid
Acropyga moluccana	Mayr	1879	invalid
Acropyga myops	Forel	1910	valid
Acropyga nipponensis	Terayama	1985	valid
Acropyga oceanica	Emery	1900	valid
Acropyga oko	Weber	1944	invalid
Acropyga pachycera	Emery	1906	invalid
Acropyga palaga	LaPolla	2004	valid
Acropyga paleartica	Menozzi	1936	valid
Acropyga pallida	Donisthorpe	1938	valid
Acropyga paludis	Weber	1944	invalid
Acropyga panamensis	Weber	1944	valid
Acropyga paramaribensis	Borgmeier	1933	invalid
Acropyga parvidens	Wheeler & Mann	1914	valid
Acropyga pickeli	Borgmeier	1927	invalid
Acropyga quadriceps	Weber	1944	invalid
Acropyga rhodesiana	Santschi	1928	invalid
Acropyga robae	Donisthorpe	1936	invalid
Acropyga romeo	LaPolla	2004	valid
Acropyga rubescens	Forel	1894	valid
Acropyga rutgersi	Bünzli	1935	invalid
Acropyga sauteri	Forel	1912	valid
Acropyga septemstruma	Terayama, Fellowes & Zhou	2002	invalid
Acropyga silvestrii	Emery	1915	valid
Acropyga silvestrii	Wheeler	1927	invalid
Acropyga smithii	Forel	1893	valid
Acropyga stenotes	LaPolla	2004	valid
Acropyga termitobia	Forel	1912	invalid
Acropyga tricuspis	LaPolla	2004	valid
Acropyga trinitatis	Weber	1944	invalid
Acropyga undecemus	Donisthorpe	1949	invalid
Acropyga urichi	Weber	1944	invalid
Acropyga wheeleri	Mann	1922	invalid
Acropyga yaeyamensis	Terayama & Hashimoto	1996	valid
Acropyga yunnanensis	Terayama, Fellowes & Zhou	2002	invalid
Acropyga yushi	Terayama	2009	valid
Adelomyrmex anxiocalor	[no authors]	2012	valid
Adelomyrmex betoi	Fernández	2003	valid
Adelomyrmex biroi	Emery	1897	valid
Adelomyrmex bispeculum	[no authors]	2012	valid
Adelomyrmex brenesi	Longino	2006	valid
Adelomyrmex brevispinosus	Fernández & Mackay	2003	invalid
Adelomyrmex coco	[no authors]	2012	valid
Adelomyrmex costatus	Fernández	2003	valid
Adelomyrmex cristiani	Fernández	2003	valid
Adelomyrmex dentivagans	[no authors]	2012	valid
Adelomyrmex foveolatus	Fernández & Mackay	2003	valid
Adelomyrmex grandis	Fernández	2003	valid
Adelomyrmex hirsutus	Mann	1921	valid
Adelomyrmex laevigatus	Fernández & Mackay	2003	valid
Adelomyrmex longinoi	Fernández	2003	valid
Adelomyrmex mackayi	Fernández	2003	valid
Adelomyrmex marginodus	[no authors]	2012	valid
Adelomyrmex metzabok	[no authors]	2012	valid
Adelomyrmex micans	Fernández & Mackay	2003	valid
Adelomyrmex microps	Fernández & Mackay	2003	valid
Adelomyrmex minimus	Fernández & Mackay	2003	valid
Adelomyrmex myops	Wheeler	1910	valid
Adelomyrmex nortenyo	[no authors]	2012	valid
Adelomyrmex paratristani	[no authors]	2012	valid
Adelomyrmex quetzal	[no authors]	2012	valid
Adelomyrmex robustus	Fernández	2003	valid
Adelomyrmex samoanus	Wilson & Taylor	1967	valid
Adelomyrmex silvestrii	Menozzi	1931	valid
Adelomyrmex striatus	Fernández	2003	valid
Adelomyrmex tristani	Menozzi	1931	valid
Adelomyrmex vaderi	Fernández	2003	valid
Adetomyrma aureocuprea	Yoshimura & Fisher	2012	valid
Adetomyrma bressleri	Yoshimura & Fisher	2012	valid
