subfamily	tribe	genus	species	subspecies	status	senior synonym	fossil
Amblyoponinae	Amblyoponini	Mystrium	oculatum		synonym		
Amblyoponinae	Amblyoponini	Mystrium	rogeri		valid		
Amblyoponinae	Amblyoponini	Mystrium	silvestrii		valid		
Amblyoponinae	Amblyoponini	Mystrium	stadelmanni		valid		
Amblyoponinae	Amblyoponini	Mystrium	voeltzkowi		valid		
Amblyoponinae	Amblyoponini	Onychomyrmex	doddi		valid		
Amblyoponinae	Amblyoponini	Onychomyrmex	hedleyi		valid		
Amblyoponinae	Amblyoponini	Onychomyrmex	mjobergi		valid		
Amblyoponinae	Amblyoponini	Opamyrma	hungvuong		valid		
Amblyoponinae	Amblyoponini	Paraprionopelta	minima		valid		
Amblyoponinae	Amblyoponini	Prionopelta	aethiopica		valid		
Amblyoponinae	Amblyoponini	Prionopelta	amabilis		valid		
Amblyoponinae	Amblyoponini	Prionopelta	amieti		valid		
Amblyoponinae	Amblyoponini	Prionopelta	antillana		valid		
Amblyoponinae	Amblyoponini	Prionopelta	brocha		valid		
Amblyoponinae	Amblyoponini	Prionopelta	bruchi		synonym		
Amblyoponinae	Amblyoponini	Prionopelta	churchilli		synonym		
Amblyoponinae	Amblyoponini	Prionopelta	descarpentriesi		valid		
Amblyoponinae	Amblyoponini	Prionopelta	humicola		valid		
Amblyoponinae	Amblyoponini	Prionopelta	kraepelini		valid		
Amblyoponinae	Amblyoponini	Prionopelta	majuscula		valid		
Amblyoponinae	Amblyoponini	Prionopelta	marthae		valid		
Amblyoponinae	Amblyoponini	Prionopelta	mayri		synonym		
Amblyoponinae	Amblyoponini	Prionopelta	media		valid		
Amblyoponinae	Amblyoponini	Prionopelta	mocsaryi		synonym		
Amblyoponinae	Amblyoponini	Prionopelta	modesta		valid		
Amblyoponinae	Amblyoponini	Prionopelta	opaca		valid		
Amblyoponinae	Amblyoponini	Prionopelta	poultoni		synonym		
Amblyoponinae	Amblyoponini	Prionopelta	punctulata		valid		
Amblyoponinae	Amblyoponini	Prionopelta	robynmae		valid		
Amblyoponinae	Amblyoponini	Prionopelta	simillima		synonym		
Amblyoponinae	Amblyoponini	Prionopelta	testacea		synonym		
Aneuretinae	Aneuretini	Aneuretellus	deformis		valid		fossil
Aneuretinae	Aneuretini	Aneuretus	butteli		synonym		
Aneuretinae	Aneuretini	Aneuretus	simoni		valid		
Aneuretinae	Aneuretini	Mianeuretus	eocenicus		valid		fossil
Aneuretinae	Aneuretini	Mianeuretus	mirabilis		valid		fossil
Aneuretinae	Aneuretini	Paraneuretus	longicornis		valid		fossil
Aneuretinae	Aneuretini	Paraneuretus	tornquisti		valid		fossil
Aneuretinae	Aneuretini	Protaneuretus	succineus		valid		fossil
Aneuretinae	Pityomyrmecini	Pityomyrmex	tornquisti		valid		fossil
Armaniinae	Armaniini	Archaeopone	kzylzharica		valid		fossil
Armaniinae	Armaniini	Archaeopone	taylori		valid		fossil
Armaniinae	Armaniini	Armania	capitata		valid		fossil
Armaniinae	Armaniini	Armania	curiosa		valid		fossil
Armaniinae	Armaniini	Armania	pristina		valid		fossil
Armaniinae	Armaniini	Armania	robusta		valid		fossil
Armaniinae	Armaniini	Dolichomyrma	latipes		valid		fossil
Armaniinae	Armaniini	Dolichomyrma	longiceps		valid		fossil
Armaniinae	Armaniini	Khetania	mandibulata		valid		fossil
Armaniinae	Armaniini	Orapia	minor		valid		fossil
Armaniinae	Armaniini	Orapia	rayneri		valid		fossil
Armaniinae	Armaniini	Poneropterus	sphecoides		valid		fossil
Armaniinae	Armaniini	Pseudarmania	aberrans		valid		fossil
Armaniinae	Armaniini	Pseudarmania	rasnitsyni		valid		fossil
Brownimeciinae	Brownimeciini	Brownimecia	clavata		valid		fossil
Cerapachyinae	Acanthostichini	Acanthostichus	afflictus		recombined		
Cerapachyinae	Acanthostichini	Acanthostichus	arizonensis		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	bentoni		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	brevicornis		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	brevinodis		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	concavinodis		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	emmae		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	femoralis		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	flexuosus		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	fuscipennis		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	hispaniolicus		valid		fossil
Cerapachyinae	Acanthostichini	Acanthostichus	kirbyi		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	laevigatus		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	laticornis		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	lattkei		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	longinodis		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	niger		synonym		
Cerapachyinae	Acanthostichini	Acanthostichus	obscuridens		synonym		
Cerapachyinae	Acanthostichini	Acanthostichus	punctiscapus		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	quadratus		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	quirozi		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	ramosmexiae		synonym		
Cerapachyinae	Acanthostichini	Acanthostichus	sanchezorum		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	serratulus		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	skwarrae		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	texanus		valid		
Cerapachyinae	Acanthostichini	Acanthostichus	townsendi		synonym		
Cerapachyinae	Acanthostichini	Acanthostichus	truncatus		valid		
Cerapachyinae	Cerapachyini	Cerapachys	aberrans		valid		
Cerapachyinae	Cerapachyini	Cerapachys	adamus		valid		
Cerapachyinae	Cerapachyini	Cerapachys	aegyptiacus		synonym		
Cerapachyinae	Cerapachyini	Cerapachys	afer		valid		
Cerapachyinae	Cerapachyini	Cerapachys	aitkenii		valid		
Cerapachyinae	Cerapachyini	Cerapachys	alfierii		synonym		
Cerapachyinae	Cerapachyini	Cerapachys	angustatus		valid		
Cerapachyinae	Cerapachyini	Cerapachys	antennatus		valid		
Cerapachyinae	Cerapachyini	Cerapachys	aranus		valid		
Cerapachyinae	Cerapachyini	Cerapachys	arnoldi		valid		
Cerapachyinae	Cerapachyini	Cerapachys	augustae		valid		
Cerapachyinae	Cerapachyini	Cerapachys	australis		homonym		
Cerapachyinae	Cerapachyini	Cerapachys	australis		synonym		
Cerapachyinae	Cerapachyini	Cerapachys	bakeri		valid		
Cerapachyinae	Cerapachyini	Cerapachys	besucheti		valid		
Cerapachyinae	Cerapachyini	Cerapachys	bicolor		synonym		
Cerapachyinae	Cerapachyini	Cerapachys	bicolor		valid		
Cerapachyinae	Cerapachyini	Cerapachys	binodis		valid		
Cerapachyinae	Cerapachyini	Cerapachys	biroi		valid		
