5523,"Abdul-Rassoul, M. S.; Dawah, H. A.; Othman, N. Y.",1978.,197804,"Records of insect collection (Part I) in the Natural History Research Centre, Baghdad.",Bull. Nat. Hist. Res. Cent. Univ. Baghdad 7(2):1-6.,"{Formicidae pp. 4-6.} Paper deals with Cicadelloidea, Dermaptera, and Formicidae.",PSW
3698,"Adlerz, G.",1896b.,1896,Myrmekologiska studier. III. Tomognathus sublaevis Mayr.,Bih. K. Sven. Vetensk.-Akad. Handl. Afd. IV 21(4):1-76.,"""Meddeladt [communicated] den 13 November 1895"". Bolton (1995b) omits the ""Afd. IV"" from the citation but it is necessary for unambiguous citation.",PSW
3697,"Adlerz, G.","1896c (""1895"").",1896,Stridulationsorgan och ljudförnimmelser hos myror.,Öfvers. K. Vetensk.-Akad. Förh. Stockh. 52:769-782.,"ANTBIB Misc. Notes, p. 139. ""Meddeladt [communicated] den 11 December 1895"".",PSW
3700,"Adlerz, G.",1902.,19020912,"Myrmecologiska studier. IV. Formica suecica n. sp., Eine neue schwedische Ameise.",Öfvers. K. Vetensk.-Akad. Förh. Stockh. 59:263-265.,,PSW
3701,"Adlerz, G.",1908.,19081112,Zwei Gynandromorphen von Anergates atratulus Schenck.,Ark. Zool. 5(2):1-6.,"Date from end of issue: ""Tryckt den 12 november 1908"" . But front wrapper of volume states: ""Häftet 1-3 innehallande N: 1-13 utkom den 21 Juli 1909.""",PSW
3703,"Adlerz, G.",1914.,19140207,"Formica fusca-picea Nyl., en torfmossarnas myra.",Ark. Zool. 8(26):1-5.,"Date from Bolton (p.c.). ""Tryckt den 7 februari 1914"", but ""utkom"" 22 May 1914.",PSW
4706,"Adolph, G. E.",1880.,1880,Ueber das Flügelgeäder des Lasius umbratus Nyl.,Verh. Naturhist. Ver. Preuss. Rheinl. Westfal. 37:35-53.,,PSW
6335,"Agassiz, J. L. R.",1846.,18461229,"Nomenclatoris zoologici index universalis, continens nomina systematica classium, ordinum, familiarum, et generum animalium omnium, tam viventium quam fossilium.","Soloduri [= Solothurn, Switzerland]: Jent & Gassmann, viii + 393 pp.","{Date of publication from Evenhuis, 1994b:478. See also Bowley & Smith (1968) and Kevan (1970).} Seen as the 1848 (octavo) edition (see NONTAX). ANTBIB Misc. Notes, pp. 134, 171, 176. Bolton (1995b) gives year incorrectly as 1848.",Seen(PSW)
6609,"Agassiz, J. L. R.",1850.,185012,"[Untitled. Genus Tomognathus, new, Agassiz.]","P. 376 in: Dixon, F.  The geology and fossils of the Tertiary and Cretaceous formation of Sussex.  London: Longman, Brown, Green, and Longmans, xvi + 422 pp.","{Publication date from Sherborn (1908).} ANTBIB Misc. Notes, pp. 138, 176. UCB Earth Sci. fQE262.S8.D5 Locked Case.",Seen(PSW)
590,"Agbogba, C.",1984.,198412,Observations sur le comportement de marche en tandem chez deux espèces de fourmis ponérines: Mesoponera caffraria (Smith) et Hypoponera sp. (Hym. Formicidae),Insectes Soc. 31:264-276.,,PSW
601,"Agbogba, C.","1986 (""1985"").",198606,Observations sur la récolte de substances liquides et de sucs animaux chez deux espèces d'Aphaenogaster: A. senilis et A. subterranea (Hym. Formicidae).,Insectes Soc. 32:427-434.,"Published ""2e trimestre 1986"".",PSW
